Station_ID,longitude,latitude,label,MAE,ME,Pearson r,PSS
68523099999,20.4833333,-30.4666666,NCEI,1.2452989121777416,0.5665388019650205,0.7691405334912877,0.915032679738562
TA00465,27.725646,-29.443727,TAHMO,2.3736305423074686,2.3449976746252688,0.533086964858011,0.3445153851963447
68002599999,24.1666666,-17.6333333,NCEI,1.920256766040806,1.7858125423023097,0.5151014189499035,0.576490677566367
31207,17.8195,-27.6745,SASSCALWN,1.7033630343028514,0.47211560878345216,0.6175214948068207,0.8812347801040651
E7625,15.04594199,-23.443536,SASSCALWN,1.4506852959583618,0.0557800643721553,0.6506046473534923,0.9083228679072953
68226,21.868556,-24.019278,SASSCALWN,1.7732884687627124,1.4982757664289632,0.6167548115582556,0.6827244929172853
TA00546,31.126501,-17.781055,TAHMO,1.825589340884934,1.8120296888101601,0.6151613669662486,0.31767256971705254
116,19.732306,-18.23475,SASSCALWN,1.985569383018343,1.8756059732126564,0.6436582455492049,0.596881687557322
68104199999,17.925419,-24.605447,NCEI,1.7486519719180948,1.1124087797426903,0.4553367983980478,0.7414021982277258
31195,20.2085,-17.8946,SASSCALWN,1.7763036881505267,1.658477323103908,0.6555100577259159,0.6250188797679357
TA00519,35.346881,-23.866289,TAHMO,2.505058531491855,2.471027174227891,0.7856266941505627,0.45582362550138983
31197,16.9012,-21.5986,SASSCALWN,1.5015777702206201,0.6250113690441532,0.5960587172829027,0.8221319688128621
TA00533,24.301371,-17.478749,TAHMO,1.5509568413749037,1.4027385200566167,0.6008570614015823,0.642609501635334
E7630,14.72792999,-22.98927901,SASSCALWN,1.4365356778395801,0.0491338339019152,0.6336677720285987,0.9167718976007347
TA00372,27.884944,-26.336072,TAHMO,1.2227754116580336,1.0164580707545003,0.6821986216087533,0.7443754466418329
67591,22.284,-19.35786,SASSCALWN,1.4252817308672323,0.9097650059226478,0.5769672566919679,0.795325310473413
68320,23.259194,-25.268,SASSCALWN,1.781046900749321,1.5316486396713063,0.6714365840313538,0.7000800086035643
68429099999,23.0666666,-28.3333333,NCEI,2.0144264047057368,1.7737961120690364,0.6463051579759329,0.666957889530265
TA00179,28.03133,-26.19511,TAHMO,1.1592900976386966,0.88970756483012,0.5609547564623556,0.7420121617241846
68268099999,28.3333333,-24.9,NCEI,1.6960355296386092,1.4541739145481634,0.5133292577980209,0.670101842870999
E7624,14.98967998,-22.96948104,SASSCALWN,1.4233477166170632,0.21293071685393034,0.7080347452342866,0.9268366958507804
68923099999,19.9,-34.15,NCEI,1.619803245376207,1.3114856532148118,0.6360359215601176,0.6885562530178657
TA00159,28.485967,-21.350205,TAHMO,3.0679012001015247,3.038057423871696,0.7398028941879599,0.3569097551210634
68582099999,30.4,-29.65,NCEI,1.1242120814783485,0.06971990556142363,0.6570736058835978,0.8344690868541697
858577,16.50674,-28.62496,SASSCALWN,1.3508339820476525,-0.5127413123000351,0.8500644620923787,0.9289766528474798
858590,18.68285,-32.5981,SASSCALWN,1.315057650010269,0.1102349280082838,0.6361721206510456,0.7922582118524719
68823099999,22.0166666,-33.1833333,NCEI,2.2097665140057288,1.7107940605752312,0.6684217701068716,0.8172158569048327
68717099999,18.9772222,-33.0127778,NCEI,1.4314819147611544,1.134229696370732,0.5746649604054512,0.695176186686676
TA00470,27.867692,-26.483036,TAHMO,2.76279874657602,2.7293854113452207,0.6938790551211209,0.4557626100137687
TA00509,32.804618,-25.405518,TAHMO,2.3124568017104905,2.2883396752666694,0.8065967622948792,0.5437245984319111
TA00192,27.953292,-26.064506,TAHMO,1.502782837747756,1.4608625658977892,0.4684026028969817,0.4485642544430815
68819099999,18.4166666,-33.9333333,NCEI,2.5412215333028327,2.2953088049795283,0.5873994154853436,0.6258167449710577
